longitude,latitude,year,count
123.0,-19.0,2022.0,14
123.0,-19.0,2023.0,57
123.0,-18.5,2021.0,24
123.0,-18.5,2022.0,2
123.0,-18.5,2023.0,8
123.0,-18.5,2024.0,29
123.0,-18.0,2020.0,7
123.0,-18.0,2021.0,31
123.0,-18.0,2022.0,3
123.0,-18.0,2023.0,9
123.0,-18.0,2024.0,9
123.0,-17.5,2020.0,46
123.0,-17.5,2021.0,58
123.0,-17.5,2022.0,5
123.0,-17.5,2023.0,19
123.0,-17.5,2024.0,3
123.0,-17.0,2020.0,19
123.0,-17.0,2021.0,72
123.0,-17.0,2022.0,76
123.0,-17.0,2023.0,21
123.0,-17.0,2024.0,8
123.0,-16.5,2020.0,3
123.0,-16.5,2021.0,18
123.0,-16.5,2022.0,10
123.0,-16.5,2023.0,5
123.0,-16.5,2024.0,1
123.5,-33.0,2020.0,105
123.5,-32.5,2020.0,227
123.5,-32.5,2024.0,94
123.5,-32.0,2020.0,15
123.5,-32.0,2021.0,81
123.5,-32.0,2022.0,1
123.5,-31.5,2021.0,1
123.5,-31.0,2020.0,64
123.5,-30.5,2020.0,4
123.5,-29.5,2020.0,3
123.5,-28.0,2020.0,4
123.5,-28.0,2021.0,1
123.5,-27.5,2020.0,15
123.5,-27.5,2021.0,1
123.5,-27.0,2020.0,2
123.5,-26.5,2020.0,3
123.5,-26.5,2021.0,2
123.5,-26.0,2021.0,3
123.5,-24.0,2024.0,2
123.5,-23.5,2024.0,4
123.5,-23.0,2024.0,16
123.5,-22.5,2023.0,1
123.5,-22.5,2024.0,12
123.5,-20.5,2022.0,6
123.5,-20.5,2023.0,73
123.5,-20.5,2024.0,6
123.5,-20.0,2021.0,13
123.5,-20.0,2022.0,2
123.5,-20.0,2023.0,41
123.5,-19.5,2021.0,1
123.5,-19.5,2022.0,21
123.5,-19.5,2023.0,53
123.5,-19.0,2021.0,44
123.5,-19.0,2022.0,13
123.5,-19.0,2023.0,4
123.5,-18.5,2021.0,15
123.5,-18.5,2022.0,72
123.5,-18.5,2023.0,10
123.5,-18.5,2024.0,1
123.5,-18.0,2020.0,1
123.5,-18.0,2021.0,26
123.5,-18.0,2022.0,39
123.5,-18.0,2023.0,48
123.5,-17.5,2020.0,1
123.5,-17.5,2021.0,14
123.5,-17.5,2023.0,28
123.5,-17.5,2024.0,1
123.5,-17.0,2021.0,11
123.5,-17.0,2024.0,4
123.5,-16.5,2020.0,1
123.5,-16.5,2021.0,4
123.5,-16.5,2023.0,1
123.5,-16.5,2024.0,1
123.5,-16.0,2022.0,1
124.0,-33.5,2023.0,2
124.0,-33.0,2020.0,207
124.0,-33.0,2021.0,5
124.0,-32.5,2020.0,3
124.0,-32.5,2024.0,14
124.0,-31.5,2021.0,12
124.0,-31.5,2022.0,2
124.0,-31.0,2020.0,10
124.0,-31.0,2022.0,22
124.0,-30.5,2021.0,6
124.0,-29.5,2020.0,8
124.0,-28.5,2020.0,1
124.0,-27.0,2020.0,3
124.0,-25.0,2023.0,6
124.0,-23.5,2024.0,1
124.0,-23.0,2024.0,5
124.0,-22.5,2024.0,5
124.0,-22.0,2023.0,13
124.0,-22.0,2024.0,2
124.0,-21.5,2023.0,7
124.0,-21.5,2024.0,1
124.0,-21.0,2021.0,2
124.0,-21.0,2023.0,58
124.0,-20.5,2021.0,20
124.0,-20.5,2023.0,73
124.0,-20.0,2020.0,1
124.0,-20.0,2022.0,31
124.0,-20.0,2023.0,102
124.0,-19.5,2022.0,26
124.0,-19.5,2023.0,14
124.0,-19.0,2021.0,19
124.0,-19.0,2022.0,9
124.0,-19.0,2023.0,36
124.0,-18.5,2020.0,1
124.0,-18.5,2021.0,8
124.0,-18.5,2022.0,12
124.0,-18.5,2023.0,63
124.0,-18.5,2024.0,4
124.0,-18.0,2020.0,3
124.0,-18.0,2021.0,26
124.0,-18.0,2022.0,9
124.0,-18.0,2023.0,30
124.0,-18.0,2024.0,6
124.0,-17.5,2020.0,1
124.0,-17.5,2021.0,17
124.0,-17.5,2022.0,56
124.0,-17.5,2023.0,39
124.0,-17.5,2024.0,1
124.0,-17.0,2020.0,24
124.0,-17.0,2021.0,1
124.0,-17.0,2022.0,3
124.0,-17.0,2023.0,12
124.0,-17.0,2024.0,6
124.0,-16.5,2021.0,12
124.0,-16.5,2023.0,14
124.5,-33.0,2020.0,120
124.5,-32.5,2020.0,1
124.5,-30.5,2021.0,3
124.5,-30.0,2020.0,28
124.5,-30.0,2021.0,16
124.5,-29.5,2021.0,4
124.5,-29.0,2020.0,1
124.5,-28.5,2020.0,8
124.5,-28.0,2020.0,5
124.5,-26.5,2022.0,1
124.5,-25.0,2023.0,1
124.5,-24.0,2024.0,3
124.5,-23.0,2021.0,2
124.5,-23.0,2024.0,1
124.5,-22.5,2023.0,9
124.5,-22.5,2024.0,3
124.5,-22.0,2022.0,4
124.5,-22.0,2024.0,15
124.5,-21.5,2022.0,1
124.5,-21.5,2024.0,18
124.5,-21.0,2021.0,2
124.5,-21.0,2023.0,50
124.5,-21.0,2024.0,7
124.5,-20.5,2021.0,2
124.5,-20.5,2022.0,6
124.5,-20.5,2023.0,46
124.5,-20.5,2024.0,2
124.5,-20.0,2022.0,46
124.5,-20.0,2023.0,5
124.5,-19.5,2022.0,46
124.5,-19.5,2023.0,57
124.5,-19.0,2021.0,7
124.5,-19.0,2022.0,21
124.5,-19.0,2023.0,62
124.5,-18.5,2020.0,6
124.5,-18.5,2021.0,2
124.5,-18.5,2022.0,17
124.5,-18.5,2023.0,22
124.5,-18.0,2021.0,9
124.5,-18.0,2022.0,9
124.5,-18.0,2023.0,3
124.5,-18.0,2024.0,7
124.5,-17.5,2020.0,6
124.5,-17.5,2021.0,13
124.5,-17.5,2022.0,4
124.5,-17.5,2023.0,15
124.5,-17.5,2024.0,2
124.5,-17.0,2020.0,8
