Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2023-24,Human resources,40-49 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,9885,7243,4197,2451,2194,708,na,47,,26725
9A.4,2023-24,Human resources,50-59 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,14801,8991,5784,3076,2432,723,na,48,,35855
9A.4,2023-24,Human resources,60+ years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,24581,20167,11227,4732,3637,940,na,46,,65330
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,na,51949,27382,14458,13121,na,na,na,,106910
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4778,5247,2570,997,944,326,379,227,,15467
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,842,642,187,0,24,1,8,0,,1704
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,19,288,44,153,0,0,0,26,,530
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5639,6177,2801,1150,968,327,387,253,,17702
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,76.4,73.7,76,66,92.5,64.4,76.5,91.7,,75.2
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,68.4,92.1,52.1,40.7,52.8,57.2,84,101.2,,67.4
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1744,2203,883,593,78,181,119,23,,5824
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,7383,8380,3684,1743,1046,508,506,276,,23525
9A.4,2022-23,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,8,1730,982,949,..,na,..,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,1,567,56,24,na,na,..,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,440,95,67,na,..,na,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,43,15,0,na,..,na,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,20,3,0,na,..,na,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,50,45,69,..,na,..,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,55,23,13,na,na,..,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,62,49,32,na,..,na,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,59,16,0,na,..,na,,na
9A.4,2022-23,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,37,5,0,na,..,na,,na
9A.4,2022-23,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,676,178,461,47,78,17,35,16,,1508
9A.4,2022-23,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1781,1301,1256,372,322,83,133,90,,5338
9A.4,2022-23,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1859,1038,1194,335,352,100,115,66,,5059
9A.4,2022-23,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1896,733,1206,335,338,110,86,52,,4756
9A.4,2022-23,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,617,453,366,103,170,17,26,11,,1762
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6829,3703,4483,1190,1260,327,395,235,,18422
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.5,1.8,4.3,4.8,4.3,4.9,6.3,5.9,,2.7
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6.8,3.1,7.6,4.7,4.1,4.9,6.3,6.4,,5.9
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,67513,28785,10671,13030,11542,3811,1116,253,,136721
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,7978,23022,15854,2228,1905,878,0,0,,51865
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,75491,51807,26525,15258,13447,4689,1116,253,,188586
9A.4,2022-23,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,916.3,772.7,493.2,540.1,733.1,820.3,242.2,101.1,,717.9
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4736,5032,2493,992,938,341,380,214,,15126
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,807,636,192,0,36,1,7,2,,1680
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,16,644,26,161,0,0,0,22,,869
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5559,6312,2711,1154,974,342,387,238,,17675
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,77.5,75.3,76.1,66.7,93.1,66.6,76.9,92.1,,76.3
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,68.7,96.2,51.5,41.8,53.9,60,85.3,95.3,,68.6
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1615,2076,853,575,72,172,116,21,,5499
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,7174,8388,3563,1729,1046,513,503,258,,23174
9A.4,2021-22,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,9,1693,988,935,..,na,..,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,1,531,58,23,na,na,..,,na
