longitude,latitude,year,count,avg_frp,total_frp,pct_night,pct_high_intensity
143.25,-36.75,2020,2,121.6,243.1,0.0,0.0
143.25,-19.25,2020,7,103.7,726.1,0.0,14.3
143.25,-18.75,2020,6,79.4,476.4,0.0,0.0
143.25,-18.25,2020,1,50.5,50.5,0.0,0.0
143.25,-17.75,2020,4,103.8,415.3,0.0,0.0
143.25,-17.25,2020,31,94.7,2936.3,0.0,3.2
143.25,-16.75,2020,23,86.3,1984.3,17.4,0.0
143.25,-16.25,2020,5,79.5,397.3,0.0,0.0
143.25,-15.75,2020,1,73.5,73.5,0.0,0.0
143.25,-14.25,2020,2,160.0,320.1,0.0,0.0
143.25,-13.75,2020,1,109.2,109.2,0.0,0.0
143.25,-12.75,2020,1,142.1,142.1,0.0,0.0
143.75,-37.75,2020,2,158.6,317.1,0.0,50.0
143.75,-37.25,2020,7,85.8,600.6,0.0,0.0
143.75,-36.75,2020,1,84.2,84.2,0.0,0.0
143.75,-20.25,2020,2,65.4,130.8,0.0,0.0
143.75,-19.75,2020,8,106.4,850.9,0.0,0.0
143.75,-19.25,2020,3,124.3,372.9,0.0,0.0
143.75,-18.75,2020,5,89.4,446.8,0.0,0.0
143.75,-17.25,2020,1,62.8,62.8,0.0,0.0
143.75,-16.75,2020,18,96.0,1728.7,0.0,0.0
143.75,-16.25,2020,9,104.1,936.8,0.0,11.1
143.75,-15.75,2020,10,119.0,1189.7,0.0,10.0
143.75,-15.25,2020,7,73.5,514.2,0.0,0.0
143.75,-14.75,2020,5,135.7,678.6,0.0,40.0
143.75,-13.75,2020,1,58.4,58.4,0.0,0.0
144.25,-20.25,2020,3,74.5,223.4,0.0,0.0
144.25,-19.75,2020,2,82.3,164.7,0.0,0.0
144.25,-17.75,2020,6,80.3,481.8,0.0,0.0
144.25,-17.25,2020,2,64.4,128.9,0.0,0.0
144.25,-16.75,2020,15,70.7,1060.6,6.7,0.0
144.25,-16.25,2020,4,61.1,244.5,0.0,0.0
144.25,-15.25,2020,2,91.6,183.2,0.0,0.0
144.25,-14.75,2020,10,99.6,996.1,0.0,0.0
144.25,-14.25,2020,1,62.0,62.0,0.0,0.0
144.75,-41.25,2020,2,285.5,571.0,0.0,100.0
144.75,-40.75,2020,8,132.8,1062.4,0.0,25.0
144.75,-20.25,2020,4,96.0,383.8,0.0,0.0
144.75,-19.75,2020,4,57.0,228.1,0.0,0.0
144.75,-18.25,2020,6,106.3,638.0,0.0,16.7
144.75,-17.75,2020,1,50.5,50.5,0.0,0.0
144.75,-15.25,2020,22,83.2,1830.4,0.0,0.0
144.75,-14.75,2020,9,88.0,792.0,0.0,0.0
145.25,-42.25,2020,2,57.2,114.4,0.0,0.0
145.25,-40.75,2020,3,130.5,391.4,0.0,0.0
145.25,-36.25,2020,1,58.8,58.8,0.0,0.0
